Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",402,2,24pF,C1547
C3,805,1,4.7uF,
C4,805,1,100nF,
C5,603,1,100nF,
C6,805,1,10uF,
C7,805,1,1uF,
R1,603,1,100R,
R2,603,1,15K,
U1,Package_TO_SOT_SMD:SOT-223-3_TabPin2,1,LM1117-3.3,
